date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Tue Oct 22 2019,New Orleans Pelicans,122,Toronto Raptors,130,20787,Scotiabank Arena
Tue Oct 22 2019,Los Angeles Lakers,102,Los Angeles Clippers,112,19068,STAPLES Center
Wed Oct 23 2019,Chicago Bulls,125,Charlotte Hornets,126,15424,Spectrum Center
Wed Oct 23 2019,Detroit Pistons,119,Indiana Pacers,110,17923,Bankers Life Fieldhouse
Wed Oct 23 2019,Cleveland Cavaliers,85,Orlando Magic,94,18846,Amway Center
Wed Oct 23 2019,Minnesota Timberwolves,127,Brooklyn Nets,126,17732,Barclays Center
Wed Oct 23 2019,Memphis Grizzlies,101,Miami Heat,120,19600,AmericanAirlines Arena
Wed Oct 23 2019,Boston Celtics,93,Philadelphia 76ers,107,20422,Wells Fargo Center
Wed Oct 23 2019,Washington Wizards,100,Dallas Mavericks,108,19816,American Airlines Center
Wed Oct 23 2019,New York Knicks,111,San Antonio Spurs,120,18354,AT&T Center
Wed Oct 23 2019,Oklahoma City Thunder,95,Utah Jazz,100,18306,Vivint Smart Home Arena
Wed Oct 23 2019,Sacramento Kings,95,Phoenix Suns,124,18055,Talking Stick Resort Arena
Wed Oct 23 2019,Denver Nuggets,108,Portland Trail Blazers,100,19991,Moda Center
Thu Oct 24 2019,Atlanta Hawks,117,Detroit Pistons,100,20338,Little Caesars Arena
Thu Oct 24 2019,Milwaukee Bucks,117,Houston Rockets,111,18055,Toyota Center
Thu Oct 24 2019,Los Angeles Clippers,141,Golden State Warriors,122,18064,Chase Center
Fri Oct 25 2019,Toronto Raptors,106,Boston Celtics,112,18624,TD Garden
Fri Oct 25 2019,Minnesota Timberwolves,121,Charlotte Hornets,99,14879,Spectrum Center
Fri Oct 25 2019,New York Knicks,109,Brooklyn Nets,113,17732,Barclays Center
Fri Oct 25 2019,Chicago Bulls,110,Memphis Grizzlies,102,17794,FedEx Forum
Fri Oct 25 2019,Dallas Mavericks,123,New Orleans Pelicans,116,17027,Smoothie King Center
Fri Oct 25 2019,Washington Wizards,97,Oklahoma City Thunder,85,18203,Chesapeake Energy Arena
Fri Oct 25 2019,Phoenix Suns,107,Denver Nuggets,108,19557,Pepsi Center
